"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18083499695600368,17841404658487124,oleonardorosso,"Leonardo Rosso","Essas 8 ferramentas são o que transformou clínicas que você admira.

O que é possível quando você tem o sistema certo:

→ 📅 Agenda com paciente que valoriza seu trabalho
→ 💎 Consultas de R$6k a R$20k sem objeção de preço
→ 🎒 Tempo pra buscar sua filha na escola
→ 💰 Faturar mais trabalhando menos

Existe um caminho onde você não precisa escolher entre sucesso profissional e qualidade de vida.

Onde você lidera, não opera.
Onde você cresce, não se esgota.

No evento “A Última Pior Semana da Sua Clínica”, você vai conhecer doutoras que estavam exatamente onde você está. E hoje faturam o dobro trabalhando metade das horas.�
Elas vão te mostrar como fizeram isso. Não é palestra motivacional. É o sistema completo que te devolve sua vida enquanto multiplica seu faturamento.

Clica no link da BIO e vem fazer sua PRÉ-INSCRIÇÃO 
As vagas são limitadas. Garante a sua agora.",33,"03/26/2026 10:31",https://www.instagram.com/reel/DWWylvCkVZk/,"Reel do Instagram",,Total,1154,895,17,6,2,1,6
18059525729407483,17841404658487124,oleonardorosso,"Leonardo Rosso","O sucesso que você sempre sonhou não precisa custar sua vida. ✨ PRÉ-INSCRIÇÃO ABERTA. Link na BIO

Ela achava que trabalhar 12 horas por dia era o preço do sucesso. 
Que agenda lotada significava crescimento. Que não almoçar era normal. Que não ver a filha crescer era temporário, “quando as coisas melhorarem, eu paro”. Mas as coisas não melhoravam. E ela seguia esgotada. 
Até o dia que alguém perguntou: “E se o problema não for trabalhar pouco, mas trabalhar errado?” Foi aí que tudo virou. 
Hoje ela tem horário de almoço inegociável. Academia 3x na semana. Leva e busca a filha na escola. E fatura o dobro. 
Porque ela entendeu uma coisa: sua filha não quer uma mãe de sucesso. Ela quer uma mãe presente. E aqui você pode ser as duas coisas.

No evento “A Última Pior Semana da Sua Clínica”, você vai ver ao vivo como as maiores referências do mercado de harmonização chegaram onde estão.

🚫 Não é palestra motivacional vazia.
💡 São profissionais que faturam milhões mostrando o bastidor real: erros, acertos e o que realmente funciona. 
Você vai descobrir exatamente o que elas fizeram diferente:  🎯 Como posicionar sua clínica pra atrair paciente que paga (sem depender de promoção)
💬 Como converter no WhatsApp sem parecer vendedora
💎 Como fechar consultas de alto ticket sem objeção de preço
📅 Como estruturar sua agenda pra trabalhar menos e faturar mais

Aqui você vai ter um sistema completo que te faz alcançar 6 dígitos por mês sem sacrificar sua saúde, seu tempo com quem você ama, e sua paz. 
O sucesso que você sempre sonhou não precisa custar sua vida. PRÉ-INSCRIÇÃO ABERTA. Link na BIO",0,"03/26/2026 06:28",https://www.instagram.com/p/DWWWvX9gvUT/,"Imagem do Instagram",,Total,113294,36141,129,8,4,4,20
18012509519882497,17841404658487124,oleonardorosso,"Leonardo Rosso","A diferença entre um faturamento de 15k e um de 100k muitas vezes não é o número de cursos técnicos que você tem no currículo. É como você conduz a conversa na cadeira da clínica.  
O “Paciente Educado” é aquele que entende tudo de estética, mas nada sobre a urgência de resolver a própria dor. Quando você foca na técnica, você tira o peso emocional da decisão. 
No método Reconecta, nós ensinamos que construir valor é fazer o custo de não agir ser maior do que o valor do investimento. 
Se você quer parar de ouvir “está caro” e começar a ouvir “quando começamos?”, você precisa de um processo comercial blindado. 
✅ Ouça 80% do tempo.  ✅ Use o vocabulário do paciente.  ✅ Conecte o preço à solução de uma dor real. 

Quer o mapa claro para converter 9 a cada 10 consultas e subir seu ticket médio?
Eu e meu time preparamos uma Sessão Estratégica para analisar o seu cenário atual e mostrar onde você está perdendo dinheiro.",0,"06/29/2026 16:14",https://www.instagram.com/p/DaMBdVgmY68/,"Carrossel do Instagram",,Total,5053,2273,51,42,0,0,62
18095276450609032,17841404658487124,oleonardorosso,"Leonardo Rosso","Existe uma diferença enorme entre a profissional que acha que entrega valor e a que comunica esse valor de um jeito que a paciente entende, escolhe e paga sem pedir desconto.

As doutoras desses prints não são mais talentosas que você. Muitas começaram exatamente onde você está agora: tecnicamente boas, mas presas num faturamento que não refletia o tamanho do trabalho delas. 

O que mudou não foi a mão. Foi a clareza. Pararam de competir por preço e passaram a ser escolhidas, e isso tem método, tem caminho e tem gente acompanhando de perto todos os dias.

Se você quer conhecer a metodologia que as nossas doutoras usam, pra construir um faturamento alto sem sacrificar tempo, saúde e família, comenta SUPERCASO que eu te mostro como.",0,"06/27/2026 11:11",https://www.instagram.com/p/DaGVMh3iT3g/,"Carrossel do Instagram",,Total,2199,895,7,1,0,0,3
18601487575063147,17841404658487124,oleonardorosso,"Leonardo Rosso","Muitas comerciais e doutoras acreditam que a função do WhatsApp é ser um “balcão de informações”. Alguém pergunta o preço, você dá. Alguém pergunta o que foi feito, você explica a técnica.

Mas a verdade é que, toda vez que você responde algo que não foi aprofundado, você perde o controle da conversa. No mercado de ticket alto, quem pergunta conduz; quem apenas responde, é conduzido (geralmente para o vácuo ou para a objeção de “tá caro”).

As perguntas não óbvias servem para retirar a venda do campo da curiosidade e trazê-la para o campo da necessidade real. Quando você para de perguntar “tem interesse?” e começa a entender “o que te trouxe até aqui?”, você para de vender procedimentos e começa a vender a solução de um incômodo que tira o sono da paciente. 😰

O segredo das doutoras que convertem 1 para 1 no WhatsApp é a escuta ativa. O atendimento não é sobre o quão rápido você digita, mas sobre o quão fundo você consegue ir na dor da paciente antes de oferecer o horário. 

O resultado? O agendamento deixa de ser uma pressão e se torna o próximo passo óbvio para o paciente que quer resolver a dor dele hoje.

E se você quer entender a metodologia completa que faz nossas doutoras faturarem no mínimo 100k/mês, comenta SUPERCASO que eu te mostro o caminho.",0,"06/26/2026 14:24",https://www.instagram.com/p/DaEGdGSmTjd/,"Carrossel do Instagram",,Total,17519,7710,154,301,9,4,318
18093592781605645,17841404658487124,oleonardorosso,"Leonardo Rosso","Comenta “Reconecta” se você gostaria de entender como essa metodologia poderia se aplicar a realidade da sua clínica",0,"06/26/2026 05:54",https://www.instagram.com/p/DaDMG1ZFl3r/,"Carrossel do Instagram",,Total,2446,1117,4,2,0,1,2
18601099105002859,17841404658487124,oleonardorosso,"Leonardo Rosso","“Em cidade pequena ninguém paga bem.” Será mesmo?

Enquanto a maioria das injetoras reclama que no interior ninguém paga bem, as doutoras que entenderam o método Reconecta estão dominando suas regiões.

Se você quer faturar alto na harmonização facial sem depender da capital, o plano prático se resume a estes 5 passos:

1. Tenha uma queixa única: Chega de parecer um cardápio ambulante. Posicione seu perfil para resolver uma dor específica (como o derretimento facial).

2. Fixe os seus 3 melhores casos: Delete os posts explicativos e artes prontas. No topo do feed, a paciente precisa ver o impacto visual imediato de 3 resultados reais de antes e depois.

3. Turbine regionalmente: Use o botão de impulsionar com o pino em cima da sua cidade e das regiões vizinhas com maior poder aquisitivo. Esqueça o resto do Brasil.

4. Ative a Fábrica de Contatos: Seguidor novo chegou? Mande uma mensagem sutil e humana no direct no mesmo dia para entender o que o trouxe até o seu perfil. Não espere o WhatsApp apitar sozinho.

5. Esqueça a “Tabela de Açougue”: Quando perguntarem o preço no WhatsApp, nunca envie uma lista fria de valores. Foque na insatisfação do paciente e traga-o para construir o valor real na consulta presencial.",167,"06/25/2026 14:30",https://www.instagram.com/reel/DaBiKctCc-S/,"Reel do Instagram",,Total,685,568,9,5,1,0,4
18017226251890750,17841404658487124,oleonardorosso,"Leonardo Rosso","Quantas consultas você perdeu essa semana sem saber o motivo?

A paciente saiu sorrindo, disse que ia pensar, e sumiu. E você ficou sem entender o que aconteceu.

Na Reconecta, as nossas doutoras têm acompanhamento diário de quem se preocupa de verdade com o resultado delas. Cada parte da jornada tem suporte: posicionamento, conteúdo, tráfego, atendimento no WhatsApp e vendas em consulta.

Aqui não tem ponta solta.

Comenta “CONSULTA” e eu te mostro como essa metodologia se aplicaria à realidade da sua clínica.",0,"06/24/2026 07:08",https://www.instagram.com/p/DZ-K7wcFr2r/,"Carrossel do Instagram",,Total,4122,1709,52,8,0,9,13
18096259148607309,17841404658487124,oleonardorosso,"Leonardo Rosso","Se você quer fechar pelo menos 80% das suas vendas em consulta, o segredo não está em empurrar seringas, falar de marcas ou tentar convencer a paciente a todo custo. Na verdade, a regra é clara: quanto mais você age com a ansiedade de uma “vendedora”, menos você vende.

A venda de alto ticket acontece quando você sai da postura de “feirante” e assume a postura de uma autoridade que estende a mão para resolver uma dor real. Isso exige escuta ativa, construção de valor e, principalmente, controle da sua própria ansiedade para não “vomitar” descontos na hora do preço.

Já salva esse conteúdo e aplica na sua próxima consulta.   E se você sente que tem outros gargalos travando o crescimento da sua clínica, clica no link da bio e aplica pro treinamento gratuito. Você vai entender o que tá freando o seu faturamento e o que fazer diferente a partir de agora.",0,"06/23/2026 06:57",https://www.instagram.com/p/DZ7k4P6llPF/,"Carrossel do Instagram",,Total,2822,1203,29,25,0,0,38
18087164867628445,17841404658487124,oleonardorosso,"Leonardo Rosso","O paciente não tem o conhecimento técnico para decidir o que ele precisa. Você tem.

Quando a paciente senta na sua cadeira com uma queixa de envelhecimento ou rosto cansado, ela não está ali para comprar “seringas isoladas”. 

Ela está ali buscando uma solução definitiva para o incômodo que ela sente toda vez que se olha no espelho.

O grande erro da doutora acontece no momento exato de apresentar o preço. Por medo da rejeição ou por receio de o paciente achar caro, ela recua. Camufla o diagnóstico real e oferece procedimentos isolados para facilitar o fechamento.

Se você sabe que a face dela precisa de uma reestruturação de 10k, 15k, 20k ou mais para ter o resultado que ela busca, e você aceita entregar um paliativo, você está sendo cúmplice de um resultado medíocre.

Venda de alto ticket não é sobre convencer ninguém; é sobre transferência de convicção. É você assumir as rédeas da sala, liderar o processo e fazer ela chegar a conclusão que o risco de continuar com o problema é infinitamente mais caro e pior do que começar a resolver ele agora.

Pare de se deixar vencer pela insegurança na hora de passar o preço. Limpe a mesa, use a canetinha para fazê-la enxergar a dor no espelho e assuma a postura de autoridade que o seu conhecimento técnico exige.

O framework que faz a urgência mudar de lado e transforma a dúvida do paciente em um sim óbvio está pronto para ser aplicado na sua próxima consulta.

Para receber o mapa exato e parar de perder planos completos para a insegurança: Comenta CONSULTA aqui embaixo. Vou te enviar o link desse treinamento exclusivo direto no seu direct para você colocar em prática ainda esta semana.",0,"06/20/2026 07:42",https://www.instagram.com/p/DZz7qMOlrxj/,"Carrossel do Instagram",,Total,2250,1006,11,7,1,8,6
